##,2004,2008,2013,2018,state,constituency,malay_voter_ratio,non_malay_voter_ratio,malay_voters,muslim_bumiputera_voters,chinese_voters,indian_voters,others_voters,non-muslim_bumiputera_voters
P076,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,Perak,Teluk Intan (previously known as Telok Intan)[3],38,61,38,0,42,19,0,0
P077,BN-MCA,BN-MCA,BN-MCA,PH-PKR,Perak,Tanjong Malim,53,41,53,0,27,14,0,0
P078,BN-MIC,BN-MIC,BN-MIC,BN-MIC,Pahang,Cameron Highlands,34,66,34,0,32,13,21,0
P079,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Lipis,76,23,76,0,17,6,0,0
P080,BN-MCA,BN-MCA,PR-DAP,PH-DAP,Pahang,Raub,50,46,50,0,40,6,0,0
P081,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Jerantut,81,17,81,0,14,3,0,0
P082,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,Pahang,Indera Mahkota,65,35,65,0,29,6,0,0
P083,BN-MCA,PR-PKR,PR-PKR,PH-PKR,Pahang,Kuantan,63,37,63,0,33,4,0,0
P084,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Paya Besar,81,17,81,0,15,2,0,0
P085,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Pekan,88,11,88,0,2,0,9,0
P086,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Maran,90,9,90,0,7,0,2,0
P087,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Kuala Krau,90,8,90,0,3,0,5,0
P088,BN-UMNO,BN-UMNO,PR-PAS,PH-PAN,Pahang,Temerloh,64,33,64,0,24,9,0,0
P089,BN-MCA,BN-MCA,BN-MCA,PH-DAP,Pahang,Bentong,45,53,45,0,44,9,0,0
P090,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Bera,59,37,59,0,32,0,5,0
P091,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Rompin,87,11,87,0,2,0,9,0
P092,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Selangor,Sabak Bernam,81,18,81,0,13,5,0,0
P093,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Selangor,Sungai Besar,66,33,66,0,31,2,0,0
P094,BN-MIC,PR-PKR,BN-MIC,PH-PKR,Selangor,Hulu Selangor,56,41,56,0,23,18,0,0
P095,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Selangor,Tanjong Karang,72,27,72,0,17,10,0,0
P096,BN-UMNO,PR-PAS,BN-UMNO,PH-PAN,Selangor,Kuala Selangor,64,35,64,0,13,22,0,0
P097,BN-MCA,PR-PKR,PR-PKR,PH-PKR,Selangor,Selayang,45,53,45,0,36,17,0,0
P098,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,Selangor,Gombak,74,24,74,0,13,11,0,0
P099,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,Selangor,Ampang,55,44,55,0,34,10,0,0
P100,BN-MCA,BN-MCA,PR-PKR,PH-PKR,Selangor,Pandan,44,55,44,0,48,7,0,0
P101,BN-UMNO,PR-PAS,PR-PAS,PH-PAN,Selangor,Hulu Langat,53,45,53,0,34,11,0,0
P102,BN-MCA,PR-DAP,PR-DAP,PH-DAP,Selangor,Bangi (previously known as Serdang)[3],39,60,39,0,49,11,0,0
P103,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,Selangor,Puchong,39,60,39,0,44,16,0,0
P104,BN-MCA,PR-PKR,PR-PKR,PH-PKR,Selangor,Subang (previously known as Kelana Jaya)[3],38,60,38,0,42,18,0,0
P105,BN-MCA,PR-PKR,PR-PKR,PH-PKR,Selangor,Petaling Jaya (previously known as Petaling Jaya Selatan)[3],40,59,40,0,42,17,0,0
P106,BN-MCA,PR-DAP,PR-DAP,PH-DAP,Selangor,Damansara (previously known as Petaling Jaya Utara)[3],14,84,14,0,77,7,0,0
P107,BN-MIC,PR-PKR,PR-PKR,PH-PKR,Selangor,Sungai Buloh (previously known as Subang)[3],48,51,48,0,38,13,0,0
